Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Slovakia,1851.66998,1782.54247,1707.85154,1791.18574,1994.34361,2031.45154,2190.16386,2297.28046,2340.07571,2468.30714,2814.96797,2838.52282,2824.74986,2721.0178,2721.4604,2656.80214,2607.20126,2801.07321,3001.40432,3114.86275,3165.59494,3211.04404,
Slovenia,2184.18151,2267.71431,2342.69452,1900.753,2022.31268,2625.61386,2915.55203,3096.73149,3467.11199,3650.24156,3755.19612,4252.44416,4296.72348,4204.07458,4134.71234,3805.08157,3892.97227,4440.84494,4788.84668,4980.42048,5124.62599,5223.00015,
South Africa,,301.6182,,295.11118,370.71058,354.66198,377.13511,388.45218,385.7147,389.04515,363.72971,386.0538,405.10505,436.31117,434.58898,473.73416,489.20081,524.14553,510.97357,491.40996,472.68092,,
Spain,1886.84929,1960.37727,2028.02048,2209.65578,2371.39828,2532.15566,2629.39385,2736.79676,2867.10799,2893.22077,2896.49037,2791.3132,2708.84878,2638.0278,2628.94384,2636.84759,2727.42868,2863.75013,3003.56286,3067.66122,3071.44816,3251.74281,
Sri Lanka,135.47026,,,,138.09199,,92.73039,,97.70658,,104.0019,,,107.99332,97.08263,104.08262,105.03859,104.71218,104.06004,,104.55117,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,
Sweden,,5177.73846,,5388.83523,5431.79569,6092.71864,6140.16328,5015.93291,5461.51605,5107.0397,5279.92082,5167.9104,5181.45066,6686.09287,6872.72146,6810.78998,7107.98056,7308.65913,7433.21055,7697.83607,7759.49884,8130.79112,
Switzerland,3644.65831,,,,3453.0936,,,,3315.06348,,,,4499.33136,,,5310.23732,,5258.54316,,5562.95061,,6022.74647,
Syrian Arab Republic,,,,,,,,,,,,,,,,83.98261,,,,,,,142.01291
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,
Thailand,,279.50564,,280.80566,,312.70747,,321.33633,,325.56435,,530.89098,,776.84256,945.32529,847.08558,1183.14274,1320.63055,1718.45617,1749.91905,2023.83061,1699.05923,
Togo,,,,26.5439,24.94369,32.99004,23.50855,36.22125,,,33.9759,34.12615,35.45082,,37.73744,35.85397,31.93673,38.46865,47.6891,46.49953,45.29121,44.86637,44.39714
Trinidad and Tobago,,,,,,,,,,,,,,,,,,485.81699,531.20922,449.53834,590.52778,525.48815,
